Link,Judul,Harga,Deskripsi
https://www.airbnb.com/rooms/29746511?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,Apartemen casa de parco sangat nyaman -NETFLIX,$21,3 guests · 1 bedroom · 1 bed · 1.5 baths
https://www.airbnb.com/rooms/51806299?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,Brand New Studio at Sky House BSD Beside Aeon Mall,$24,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/38233855?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,Homey Studio *Disinfected* NETFLIX,$23,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/45522437?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,"B Residence Apartment, Cozy & Best Location!!",$24,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/42898846?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,Cozy apartment at Branz BSD area - CBD area,$70,4 guests · 2 bedrooms · 2 beds · 1.5 baths
https://www.airbnb.com/rooms/38710485?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,Brooklyn Apartment | Cozy 1 BR | Alam Sutera,$30,3 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/52676235?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,Eterniti Studio. | Brooklyn Apartment Alam Sutera,$24,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/49725258?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,"de Verde at CDP, walking distance to AEON & ICE",$27,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/47852369?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,Cane Studio Casa De Parco Apartment,$25,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/12233832?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,The Mezzanine Apartment by @Iguuana,$38,3 guests · 1 bedroom · 2 beds · 1 bath
https://www.airbnb.com/rooms/51492977?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,Chillin' Studio Corner-Apt Casa De Parco Serpong,$26,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/47872118?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,☀Comfort one Bedroom Apartment Branz BSD Aeon ice,$33,3 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/52234589?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,The Best Studio Apartment @Silktown - Alam Sutera,$23,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/17073812?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,Comfy and safe stay with Residence One,$33,4 guests · 3 bedrooms · 4 beds · 2.5 baths
https://www.airbnb.com/rooms/50843748?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,JOEY 1BR @ Casa de Parco,$39,4 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/45822072?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,Apartment Silktown Alexandria 2BR - Alam Sutera,$22,3 guests · 2 bedrooms · 3 beds · 1 bath
https://www.airbnb.com/rooms/18227033?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,"Enjoy Netflix @Casa De Parco Apartment, BSD",$27,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/49507694?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,Apartemen Saveria Near Aeon Mall,$21,2 guests · 1 bedroom · 1 private bath
https://www.airbnb.com/rooms/52676144?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,Big Studio Room and Comfy Baileys Apt,$19,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/33255007?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=fcc5776a-c6c1-4fb6-b338-a954ccba2ec3,"Nest at Branz BSD Near by AEON, ICE & The Breeze",$94,4 guests · 2 bedrooms · 2 beds · 1 bath
https://www.airbnb.com/rooms/52676235?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Eterniti Studio. | Brooklyn Apartment Alam Sutera,$24,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/52676144?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Big Studio Room and Comfy Baileys Apt,$19,2 guests · 1 bedroom · 1 bed · 1 bath
